"id","lat","lng"
382582,37.1768672,-3.608897
482365,52.36461880000000235,4.93169289999999982
28403,51.9245615,4.492032399999999
1098606,52.1542113,4.491864899999999,error
24389,50.85132920000000212,5.70318029999999965
19880,53.2315726000000069,6.52567179999999958
436807,51.9224817,4.5140063
420178,50.84924139999999682,5.6903737999999997
22238,50.8444264,5.7156861
7818,37.8667538,-122.25909899999999
505868,52.09791479999999808,5.11686619999999959
381769,52.2934316,4.9934547
419117,48.8653063,2.3794788
23928,50.8651879,5.707368199999999
1049729,52.37165040000000005,4.90306019999999965
90872,52.06214569999999,4.235672099999999
492800,52.0624873,5.273607
41238,51.9056776,4.454951299999999
488611,51.89783940000000229,4.51041999999999987
636618,50.853433,5.6841425
